words,answer,commonness,familiar,recognized
artar,0,0.072,0.13,0.1
artel,0,0.23,0.6,0.26
artha,0,0.138,0.23,0.2
artsy,1,0.78,2.07,0.87
aruke,0,0.063,0.14,0.08
arupa,0,0.18,0.45,0.21
arusa,0,0.083,0.14,0.12
arval,0,0.087,0.16,0.12
arvel,0,0.16,0.36,0.2
arzan,0,0.073,0.11,0.11
arzun,0,0.048,0.05,0.08
asale,0,0.357,0.91,0.41
asana,0,0.39,1.2,0.38
ascan,0,0.118,0.23,0.16
ascii,0,0.488,1.16,0.59
ascon,0,0.063,0.05,0.11
ascot,1,0.56,1.26,0.7
ascry,0,0.095,0.15,0.14
ascus,0,0.068,0.08,0.11
asdic,0,0.052,0.04,0.09
ashen,1,0.677,1.72,0.78
ashes,0,0.913,2.57,0.97
ashet,0,0.127,0.28,0.16
ashur,0,0.145,0.3,0.19
aside,1,0.878,2.39,0.96
askar,0,0.147,0.34,0.18
asker,0,0.743,1.94,0.84
askew,1,0.713,1.85,0.81
askip,0,0.32,0.87,0.35
askos,0,0.077,0.1,0.12
aslop,0,0.318,0.89,0.34
asoak,0,0.62,1.47,0.75
asoka,0,0.283,0.74,0.32
aspen,0,0.662,1.63,0.78
asper,0,0.29,0.75,0.33
aspic,0,0.34,0.96,0.36
assai,0,0.152,0.46,0.15
assay,1,0.398,1.04,0.45
asset,1,0.845,2.22,0.95
assis,0,0.182,0.43,0.22
astay,0,0.24,0.63,0.27
aster,0,0.505,1.2,0.61
astir,0,0.372,1.03,0.4
astor,0,0.393,0.98,0.46
asway,0,0.378,0.95,0.44
aswim,0,0.378,0.8,0.49
asyla,0,0.187,0.4,0.24
atavi,0,0.082,0.16,0.11
ataxy,0,0.188,0.53,0.2
atelo,0,0.077,0.16,0.1
athar,0,0.107,0.19,0.15
atilt,0,0.413,1.01,0.49
atlas,0,0.758,1.91,0.88
atlee,0,0.278,0.65,0.34
atman,0,0.232,0.7,0.23
atmid,0,0.128,0.32,0.15
atmos,0,0.587,1.63,0.63
atoke,0,0.097,0.16,0.14
atoll,1,0.475,1.2,0.55
atomy,0,0.573,1.28,0.72
atone,1,0.655,1.71,0.74
atony,0,0.232,0.7,0.23
atopy,0,0.117,0.28,0.14
atour,0,0.252,0.67,0.28
atria,0,0.248,0.83,0.22
atrip,0,0.515,1.32,0.59
attar,0,0.148,0.41,0.16
atter,0,0.257,0.58,0.32
attic,1,0.842,2.17,0.96
attid,0,0.17,0.33,0.23
atule,0,0.102,0.22,0.13
atune,0,0.342,0.7,0.45
atwin,0,0.085,0.18,0.11
atypy,0,0.14,0.24,0.2
audio,1,0.942,2.74,0.97
audit,1,0.833,2.12,0.96
augen,0,0.08,0.09,0.13
auger,0,0.51,1.29,0.59
aught,0,0.293,0.68,0.36
augur,1,0.392,1.15,0.4
aulae,0,0.065,0.09,0.1
aulic,0,0.082,0.13,0.12
auloi,0,0.045,0.03,0.08
aulos,0,0.108,0.23,0.14
aumil,0,0.047,0.07,0.07
aunty,1,0.832,2.23,0.92
aurae,0,0.527,1.42,0.58
aural,0,0.363,1.01,0.39
aurar,0,0.133,0.23,0.19
auric,0,0.217,0.58,0.24
aurin,0,0.092,0.13,0.14
aurir,0,0.075,0.18,0.09
aurum,0,0.217,0.43,0.29
auryl,0,0.09,0.12,0.14
autem,0,0.117,0.19,0.17
auxin,0,0.145,0.36,0.17
avahi,0,0.105,0.24,0.13
avail,1,0.685,1.95,0.72
avast,0,0.588,1.76,0.59
avens,0,0.247,0.61,0.29
avera,0,0.167,0.4,0.2
avert,1,0.693,1.73,0.81
avian,1,0.488,1.22,0.57
avick,0,0.062,0.07,0.1
avine,0,0.107,0.16,0.16
aviso,0,0.318,0.5,0.47
avoid,1,0.972,2.89,0.98
awabi,0,0.047,0.07,0.07
awaft,0,0.44,1.14,0.5
await,1,0.818,2.09,0.94
awake,1,0.988,2.99,0.98
awald,0,0.097,0.16,0.14
awalt,0,0.062,0.13,0.08
awane,0,0.085,0.18,0.11
award,1,0.947,2.74,0.98
aware,1,0.977,2.92,0.98
awash,1,0.66,1.68,0.76
awave,0,0.26,0.66,0.3
awber,0,0.118,0.26,0.15
aweek,0,0.657,1.96,0.66
aweel,0,0.093,0.11,0.15
awest,0,0.207,0.43,0.27
aweto,0,0.045,0.06,0.07
awful,1,0.973,2.9,0.98
awhet,0,0.168,0.29,0.24
awhir,0,0.233,0.44,0.32
awide,0,0.443,1.34,0.44
awing,0,0.425,1.11,0.48
awink,0,0.087,0.22,0.1
awiwi,0,0.048,0.05,0.08
awned,0,0.353,0.98,0.38
awner,0,0.478,1.16,0.57
awoke,1,0.868,2.33,0.96
awork,0,0.225,0.72,0.21
axial,1,0.487,1.27,0.55
axile,0,0.225,0.57,0.26
axine,0,0.055,0.06,0.09
axiom,1,0.533,1.34,0.62
axion,1,0.218,0.56,0.25
axite,0,0.088,0.14,0.13
axled,0,0.305,0.78,0.35
axman,0,0.272,0.64,0.33
axoid,0,0.053,0.05,0.09
ayelp,0,0.185,0.39,0.24
aylet,0,0.092,0.16,0.13
ayllu,0,0.057,0.1,0.08
ayond,0,0.28,0.72,0.32
ayont,0,0.09,0.18,0.12
ayous,0,0.058,0.08,0.09
azide,0,0.217,0.58,0.24
azine,0,0.093,0.11,0.15
azoch,0,0.045,0.03,0.08
azofy,0,0.033,0.02,0.06
azoic,0,0.195,0.57,0.2
azole,0,0.145,0.27,0.2
azote,0,0.113,0.14,0.18
azoth,0,0.067,0.1,0.1
azoxy,0,0.058,0.05,0.1
azure,1,0.717,1.72,0.86
azury,0,0.15,0.21,0.23
azyme,0,0.11,0.12,0.18
babai,0,0.153,0.41,0.17
babby,0,0.77,2.1,0.84
baboo,0,0.437,1.09,0.51
babul,0,0.188,0.53,0.2
bacao,0,0.103,0.2,0.14
bacca,0,0.167,0.28,0.24
bache,0,0.393,0.83,0.51
bacon,1,0.99,2.97,0.99
badan,0,0.107,0.25,0.13
badge,1,0.895,2.46,0.97
badly,1,0.987,2.98,0.98
baffy,0,0.622,1.6,0.71
bafta,0,0.55,1.5,0.6
bagel,1,0.882,2.38,0.97
baggy,1,0.873,2.42,0.94
bagre,0,0.107,0.28,0.12
bahan,0,0.127,0.37,0.13
bahar,0,0.147,0.37,0.17
bahay,0,0.16,0.39,0.19
bahoe,0,0.097,0.22,0.12
bahoo,0,0.395,0.96,0.47
bahur,0,0.063,0.11,0.09
bahut,0,0.077,0.16,0.1
baioc,0,0.057,0.07,0.09
bairn,0,0.145,0.18,0.23
baith,0,0.218,0.47,0.28
baize,0,0.295,0.84,0.31
bajan,0,0.275,0.78,0.29
bajra,0,0.067,0.1,0.1
bajri,0,0.052,0.07,0.08
bakal,0,0.133,0.29,0.17
baked,0,0.98,2.94,0.98
baken,0,0.985,2.97,0.98
baker,1,0.953,2.78,0.98
bakie,0,0.142,0.28,0.19
bakli,0,0.07,0.09,0.11
balai,0,0.145,0.36,0.17
balao,0,0.088,0.17,0.12
balas,0,0.315,1.02,0.29
baldy,0,0.862,2.32,0.95
balei,0,0.14,0.42,0.14
baler,1,0.452,1.27,0.48
balky,0,0.645,1.65,0.74
balli,0,0.135,0.27,0.18
bally,0,0.418,1.13,0.46
balmy,1,0.63,1.62,0.72
baloo,0,0.553,1.37,0.65
balow,0,0.198,0.44,0.25
balsa,0,0.398,1.16,0.41
balut,0,0.105,0.3,0.11
balza,0,0.103,0.17,0.15
banak,0,0.123,0.26,0.16
banal,1,0.59,1.62,0.64
banat,0,0.103,0.2,0.14
banca,0,0.41,1.08,0.46
banco,0,0.495,1.35,0.54
banda,0,0.77,2.31,0.77
bande,0,0.31,0.9,0.32
bandi,0,0.147,0.4,0.16
bando,0,0.242,0.73,0.24
bandy,0,0.38,1.05,0.41
banga,0,0.437,1.3,0.44
bange,0,0.337,0.97,0.35
banig,0,0.083,0.2,0.1
banjo,1,0.76,1.86,0.9
banky,0,0.215,0.48,0.27
banns,0,0.357,0.79,0.45
banty,0,0.34,0.87,0.39
banya,0,0.14,0.36,0.16
barad,0,0.125,0.24,0.17
barbe,0,0.262,0.58,0.33
bardo,0,0.292,0.82,0.31
bardy,0,0.263,0.71,0.29
barer,0,0.323,0.8,0.38
barff,0,0.12,0.27,0.15
barge,1,0.732,1.78,0.87
bargh,0,0.113,0.32,0.12
baria,0,0.1,0.18,0.14
baric,0,0.097,0.16,0.14
barid,0,0.082,0.13,0.12
barie,0,0.14,0.3,0.18
baris,0,0.15,0.33,0.19
barit,0,0.198,0.38,0.27
barky,0,0.82,2.22,0.9
barmy,0,0.352,0.82,0.43
barny,0,0.553,1.34,0.66
baroi,0,0.06,0.12,0.08
baron,1,0.725,1.74,0.87
barra,0,0.435,1.35,0.42
barry,0,0.808,2.06,0.93
barse,0,0.18,0.42,0.22
barth,0,0.502,1.27,0.58
barye,0,0.055,0.03,0.1
basal,1,0.495,1.41,0.52
based,0,0.958,2.84,0.97
bases,0,0.927,2.68,0.96
basic,1,0.858,2.33,0.94
basil,1,0.805,2.1,0.91
basin,1,0.773,2.0,0.88
basis,1,0.903,2.54,0.96
bason,0,0.787,2.02,0.9
basos,0,0.105,0.24,0.13
basso,0,0.517,1.42,0.56
basta,0,0.315,0.78,0.37
baste,1,0.695,1.74,0.81
basto,0,0.218,0.59,0.24
batad,0,0.068,0.14,0.09
batch,1,0.9,2.55,0.95
batea,0,0.087,0.16,0.12
bated,0,0.487,1.3,0.54
batel,0,0.135,0.3,0.17
bater,0,0.2,0.66,0.18
bathe,1,0.982,2.95,0.98
batik,0,0.348,1.1,0.33
baton,1,0.762,1.9,0.89
batta,0,0.162,0.37,0.2
batty,1,0.697,1.69,0.83
bauch,0,0.123,0.2,0.18
bauno,0,0.083,0.17,0.11
bauta,0,0.078,0.14,0.11
bavin,0,0.083,0.14,0.12
bawdy,1,0.683,1.64,0.82
bayal,0,0.072,0.1,0.11
bayed,0,0.393,1.1,0.42
bayok,0,0.095,0.21,0.12
bayou,1,0.57,1.47,0.65
bazoo,0,0.46,1.26,0.5
beach,1,0.987,2.95,0.99
beady,1,0.707,1.78,0.82
beaky,0,0.58,1.47,0.67
beala,0,0.092,0.16,0.13
beamy,0,0.643,1.67,0.73
beano,0,0.662,1.69,0.76
beant,0,0.538,1.13,0.7
beany,0,0.773,2.0,0.88
beard,1,0.97,2.88,0.98
bearm,0,0.315,0.81,0.36
beast,1,0.918,2.57,0.98
beata,0,0.162,0.4,0.19
beath,0,0.217,0.46,0.28
beaut,0,0.247,0.58,0.3
beaux,0,0.322,0.82,0.37
bebar,0,0.095,0.21,0.12
bebat,0,0.062,0.1,0.09
bebay,0,0.17,0.48,0.18
bebed,0,0.115,0.27,0.14
bebog,0,0.075,0.15,0.1
bebop,0,0.513,1.28,0.6
becap,0,0.08,0.18,0.1
becry,0,0.063,0.08,0.1
becut,0,0.1,0.18,0.14
bedad,0,0.122,0.19,0.18
beday,0,0.098,0.17,0.14
bedel,0,0.142,0.31,0.18
beden,0,0.123,0.41,0.11
bedew,0,0.188,0.44,0.23
bedim,0,0.09,0.15,0.13
bedin,0,0.153,0.32,0.2
bedip,0,0.05,0.09,0.07
bedog,0,0.132,0.28,0.17
bedot,0,0.062,0.1,0.09
